City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,ancud,-41.8697,-73.8203,47.93,65,95,10.92,CL,1716659084
292,sovetskaya,44.7769,41.1722,57.9,57,85,23.64,RU,1716659174
293,minas de marcona,-15.2119,-75.1103,66.33,54,0,18.37,PE,1716659175
294,cabugao,17.7931,120.4578,83.89,84,100,3.65,PH,1716659175
295,la'ie,21.6477,-157.9253,78.76,76,89,8.01,US,1716659176
296,ornskoldsvik,63.2909,18.7153,56.35,44,0,9.22,SE,1716659176
297,yantarnyy,54.8717,19.9381,67.86,87,68,13.18,RU,1716659177
298,pitimbu,-7.4706,-34.8086,86.59,71,99,13.94,BR,1716659177
299,bousso,10.4795,16.7117,87.12,52,56,13.38,TD,1716659178
300,acapulco de juarez,16.8634,-99.8901,87.62,58,20,10.36,MX,1716658928
301,colonia,50.9333,6.95,68.25,67,20,4.61,DE,1716659087
302,phan rang-thap cham,11.5667,108.9833,79.32,82,90,3.24,VN,1716659180
303,aytos,42.7,27.25,63.82,88,23,5.5,BG,1716659180
304,acarau,-2.8856,-40.12,83.37,81,94,13.11,BR,1716659181
305,castillos,-34.1667,-53.8333,52.36,60,43,10.31,UY,1716659181
306,surgut,61.25,73.4167,46.9,87,75,6.71,RU,1716658889
307,mabaruma,8.2,-59.7833,87.19,73,85,1.92,GY,1716659182
308,kapuskasing,49.4169,-82.4331,50.09,93,100,12.66,CA,1716659161
309,bethanie,-26.4833,17.15,68.34,21,3,1.57,NA,1716659183
310,taoudenni,22.6783,-3.9836,105.57,8,1,10.4,ML,1716659184
311,puerto armuelles,8.2833,-82.8667,83.97,74,65,1.01,PA,1716659000
312,carrigaline,51.8117,-8.3986,53.35,100,75,21.85,IE,1716659185
313,nichinan,31.6,131.3667,67.68,78,100,3.42,JP,1716659186
314,kenai,60.5544,-151.2583,50.14,89,100,5.75,US,1716659186
315,bathurst,-33.4166,149.5806,41.83,90,72,2.1,AU,1716659187
316,kittila,67.6647,24.8936,54.61,30,0,5.75,FI,1716659187
317,qamdo,31.1667,97.2333,45.66,74,55,5.19,CN,1716659188
